Designator,Mid X,Mid Y,Rotation,Layer
C1,164.307743,-43.903682,0.0,top
C2,157.184615,-152.591072,90.0,top
C3,154.824999,-152.591072,90.0,top
C4,157.174807,-62.591071,90.0,top
C5,157.174807,-122.591071,90.0,top
C6,154.815191,-92.591071,90.0,top
C7,154.815191,-62.591071,90.0,top
C8,157.174807,-92.591071,90.0,top
C9,154.815191,-122.591071,90.0,top
D1,155.999541,-165.999861,180.0,top
F1,147.5,-46.5,0.0,top
J1,156.0,-40.261322,180.0,top
P1,124.0,-65.672943,0.0,top
P2,188.0,-65.672943,0.0,top
P3,124.0,-95.673019,0.0,top
P4,188.0,-95.673019,0.0,top
P5,124.0,-125.673019,0.0,top
P6,188.0,-125.673019,0.0,top
P7,124.0,-155.673019,0.0,top
P8,188.0,-155.673019,0.0,top
R1,155.940999,-163.842,180.0,top
R2,164.3,-45.601954,0.0,top
R3,164.3,-42.2,0.0,top
U1,171.8,-43.8,90.0,top
