Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,JST-SH (Pin 2 Anode),C160402
"C1, C10, C2, C4, C5, C6",0603,6,4.7uF,C19666
"C11, C3, C7, C8, C9",0603,5,100nF,C14663
"D1, D3",LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA,2,LED,C2874116
D2,D_SOD-123,1,1N5817W,C2828419
J1,PinHeader_1x02_P2.54mm_Vertical,1,BAT_PADS,N/A
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C,C2765186
L1,0806,1,4.7uH,C98335
Q1,SOT-23,1,AO3401A,C6575062
"R1, R10, R16, R17, R18, R19, R2, R20, R3, R5, R6, R7, R8, R9",0603,14,5k1,C23186
R11,0603,1,2k,C22975
"R12, R13, R15, R4",0603,4,150k,C22807
R14,0603,1,680k,C25822
SW1,THTSwitch,1,PWR_SWITCH,C431548
SW2,NewCheapoButton,1,BTN_BOOT,C139797
U1,SOT-23-5,1,M3406,C83224
U2,SOT-23-6,1,TP4057,C725791
U3,SOT-23-6,1,SRV05-4,C2836319
U4,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-N4,C2838502
U5,Bosch_LGA-14_3x2.5mm_P0.5mm,1,IMU,C2836813
